nanoplastics.type,surface.charge,nanoplastics.shape,nanoplastics.size.nm.,nanoplastics.dose.mg.g.,adsorption.of.pollutants.type,pollutants.dose.mg.g.,adsorption.of.pollutants,environmental.media,plant.species,plant,exposure.time.day.,Tem...,pH,Photosynthetic.and.biochemical.indexes,index,n1,n2,av1,av2,sd1,sd2,Title,study_id,effet_size,variance
PS,plain,sphere,80,0,BDE(decabromodiphenyl ether),0.0003,1,freshwater,Salvinia natans,3,14,25,7.3,Total chl,Light Reaction,3,3,4.692,4.477,0.137,0.122,"Bioaccumulation of polystyrene nanoplastics and BDE-209 induced oxidative stress, photosynthesis and growth impairments in floating fern Salvinia natans",1,0.046924081,0.000531786
PS,plain,sphere,80,0.0001,BDE(decabromodiphenyl ether),0.0003,1,freshwater,Salvinia natans,3,14,25,7.3,Total chl,Light Reaction,3,3,4.629,4.477,0.001,0.122,"Bioaccumulation of polystyrene nanoplastics and BDE-209 induced oxidative stress, photosynthesis and growth impairments in floating fern Salvinia natans",1,0.033263927,0.000247574
PS,plain,sphere,80,0.001,BDE(decabromodiphenyl ether),0.0003,1,freshwater,Salvinia natans,3,14,25,7.3,Total chl,Light Reaction,3,3,4.158,4.477,0.059,0.122,"Bioaccumulation of polystyrene nanoplastics and BDE-209 induced oxidative stress, photosynthesis and growth impairments in floating fern Salvinia natans",1,-0.074009197,0.000314675
PS,plain,sphere,80,0.01,BDE(decabromodiphenyl ether),0.0003,1,freshwater,Salvinia natans,3,14,25,7.3,Total chl,Light Reaction,3,3,4.217,4.477,0.001,0.122,"Bioaccumulation of polystyrene nanoplastics and BDE-209 induced oxidative stress, photosynthesis and growth impairments in floating fern Salvinia natans",1,-0.059952959,0.000247577
PS,plain,sphere,80,0,BDE(decabromodiphenyl ether),0.0003,1,freshwater,Salvinia natans,3,14,25,7.3,Total chl,Light Reaction,3,3,2.697,3.286,0.001,0.248,"Bioaccumulation of polystyrene nanoplastics and BDE-209 induced oxidative stress, photosynthesis and growth impairments in floating fern Salvinia natans",1,-0.198480282,0.001900507
PS,plain,sphere,80,0.001,BDE(decabromodiphenyl ether),0.0003,1,freshwater,Salvinia natans,3,14,25,7.3,Total chl,Light Reaction,3,3,2.4,3.286,0.204,0.248,"Bioaccumulation of polystyrene nanoplastics and BDE-209 induced oxidative stress, photosynthesis and growth impairments in floating fern Salvinia natans",1,-0.313947445,0.004311695
PS,plain,sphere,80,0.01,BDE(decabromodiphenyl ether),0.0003,1,freshwater,Salvinia natans,3,14,25,7.3,Total chl,Light Reaction,3,3,2.196,3.286,0.204,0.248,"Bioaccumulation of polystyrene nanoplastics and BDE-209 induced oxidative stress, photosynthesis and growth impairments in floating fern Salvinia natans",1,-0.402544542,0.004781165
PS,plain,sphere,48.98,0,Phe(phenonnthrene),0.05,1,freshwater,rice,2,7,,,Tr1,Simultaneous effect,3,3,0.00226,0.00525,0.00086,0.0007,"Effects of individual and combined polystyrene nanoplastics and phenanthrene on the enzymology, physiology, and transcriptome parameters of rice (Oryza sativa L",3,-0.821692256,0.055376322
PS,plain,sphere,48.98,0,Phe(phenonnthrene),0.05,1,freshwater,rice,2,7,,,Gs,Simultaneous effect,3,3,499.02098,497.42978,1.03846,1.74194,"Effects of individual and combined polystyrene nanoplastics and phenanthrene on the enzymology, physiology, and transcriptome parameters of rice (Oryza sativa L",3,0.003192416,5.53125E-06
PS,plain,sphere,48.98,0,Phe(phenonnthrene),0.05,1,freshwater,rice,2,7,,,chla,Light Reaction,3,3,5.66163,7.068,1.03082,2.902,"Effects of individual and combined polystyrene nanoplastics and phenanthrene on the enzymology, physiology, and transcriptome parameters of rice (Oryza sativa L",3,-0.244437116,0.068882619
