nanoplastics type,surface charge,nanoplastics shape,nanoplastics size(nm),nanoplastics dose(mg/g or mg/ml),adsorption of pollutant types,pollutant types,pollutants dose(mg/g or mg/ml),environmental media,photosynthetic organisms species,organisms category,organisms type,exposure time(day),Tem(¡æ),photosynthetic and biochemical indexes,index groups,nc,nt,avc,avt,sdc,sdt,study_id,year,effect_size,variance
PS,plain,sphere,80,1,non,non,0,seawater,Chaetoceros gracilis,Algae & Microorganisms,Algae & Microorganisms,4,24,Fv/Fm,Light Reaction,3,3,0.57323,0.58547,0.00281,0.00282,11,2025,0.021127773,1.57E-05
PS,plain,sphere,100,0.01,non,non,0,freshwater,dandelion,Miscellaneous Plants,C3,14,25,Fv/Fm,Light Reaction,3,3,0.803,0.798,0.004,0.004,35,2023,-0.006246065,1.66E-05
PS,plain,sphere,100,0.01,non,non,0,freshwater,dandelion,Miscellaneous Plants,C3,14,25,Fv/Fm,Light Reaction,3,3,0.803,0.798,0.004,0.004,35,2023,-0.006246065,1.66E-05
PVC,plain,sphere,537,0.01,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,2,25,Fv/Fm,Light Reaction,3,3,4.79125,4.76809,0.03474,0.01621,50,2025,-0.004852368,2.14E-05
PMMA,plain,sphere,485,0.01,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,2,25,Fv/Fm,Light Reaction,3,3,0.43521,0.42422,0.00178,0.00307,50,2025,-0.025570544,2.30E-05
PS,plain,sphere,80,1,non,non,0,seawater,Chaetoceros gracilis,Algae & Microorganisms,Algae & Microorganisms,4,28,Fv/Fm,Light Reaction,3,3,0.60856,0.55056,0.00471,0.0024,11,2025,-0.100166385,2.63E-05
PS,aminonted,sphere,50,0.003,non,non,0,freshwater,Navicula sp.,Algae & Microorganisms,Algae & Microorganisms,2,25,chla,Light Reaction,3,3,0.7368,0.60777,0.004174242,0.005681127,24,2025,-0.192510751,3.98E-05
PMMA,plain,sphere,485,0.05,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,6,25,chla,Light Reaction,3,3,2.86777,2.96877,0.02175,0.02486,50,2025,0.034615101,0.000042548
PS,aminonted,sphere,250,0.01,non,non,0,freshwater,Microcystis aeruginosa,Algae & Microorganisms,Algae & Microorganisms,30,24,carotenoids,Light Reaction,6,6,4.44692,4.10367,0.06422,0.03544,34,2024,-0.080341191,4.72E-05
PS,plain,sphere,61.71,1,non,non,0,soil,Triticum aestivum L.,Crops,C3,14,20.5,Ci,Calvin Cycle,4,4,319.95687,328.60883,2.95914,3.52278,27,2024,0.026685545,5.01E-05
PS,plain,sphere,61.71,1,non,non,0,soil,Triticum aestivum L.,Crops,C3,14,27.5,Ci,Calvin Cycle,4,4,317.99821,317.30774,3.88914,2.5364,27,2024,-0.002184372,5.34E-05
PS,aminonted,sphere,250,0.001,non,non,0,freshwater,Microcystis aeruginosa,Algae & Microorganisms,Algae & Microorganisms,30,24,carotenoids,Light Reaction,6,6,4.44692,4.22547,0.06422,0.0465,34,2024,-0.051088512,0.000054944
PS,plain,sphere,50,0.01,non,non,0,seawater,Skeletonema costatum,Algae & Microorganisms,Algae & Microorganisms,4,22,chla,Light Reaction,3,3,1844.74806,1874.50376,16.78527,17.54824,40,2024,0.016002056,5.68E-05
PP,plain,sphere,20,0.1,non,non,0,soil,Nicotiana tabacum L.,Tobacco Plants,C3,55,25,Total chl,Light Reaction,6,6,9.20408,4.75399,0.13534,0.05505,44,2025,-0.660669443,5.84E-05
PS,aminonted,sphere,100,0.001,non,non,0,freshwater,Sphagnum,Aquatic & Wetland Plants,C3,30,22,chla,Light Reaction,4,4,1.47033,1.11412,0.001,0.0173,55,2024,-0.277391928,6.04E-05
PMMA,plain,sphere,485,0.25,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,6,25,chla,Light Reaction,3,3,2.86777,2.85534,0.02175,0.03418,50,2025,-0.004329503,6.69E-05
PMMA,plain,sphere,485,0.1,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,6,25,chla,Light Reaction,3,3,2.86777,2.84602,0.02175,0.03418,50,2025,-0.007598745,6.73E-05
PE,plain,sphere,20,1,non,non,0,soil,Nicotiana tabacum L.,Tobacco Plants,C3,55,25,Total chl,Light Reaction,6,6,9.20408,6.12343,0.13534,0.08716,44,2025,-0.407525602,6.98E-05
PVC,plain,sphere,537,0.25,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,2,25,Fv/Fm,Light Reaction,3,3,4.79125,4.59674,0.03474,0.0602,50,2025,-0.041424158,7.47E-05
PMMA,plain,sphere,485,0.1,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,2,25,Fv/Fm,Light Reaction,3,3,0.43521,0.42065,0.00178,0.00613,50,2025,-0.033994933,7.64E-05
PMMA,plain,sphere,485,0.05,non,non,0,freshwater,Microcystis flos-aquae,Algae & Microorganisms,Algae & Microorganisms,2,25,Fv/Fm,Light Reaction,3,3,0.43521,0.42014,0.00178,0.00638,50,2025,-0.035205039,8.24E-05
PP,plain,sphere,20,1,non,non,0,soil,Nicotiana tabacum L.,Tobacco Plants,C3,55,25,Total chl,Light Reaction,6,6,9.20408,6.44916,0.13534,0.1101,44,2025,-0.355690705,8.46E-05
